time,frequency,confidence
2.450,311.174,0.949095
2.460,311.275,0.953614
2.470,311.273,0.953502
2.480,311.308,0.952767
2.490,311.258,0.955993
2.500,311.174,0.956679
2.510,311.163,0.954742
2.520,311.099,0.955271
2.530,311.069,0.953305
2.540,311.170,0.955945
2.550,311.014,0.953218
2.560,311.035,0.950849
2.570,311.016,0.956550
2.580,311.013,0.959627
2.590,311.100,0.963734
2.600,310.966,0.959207
2.610,310.894,0.958411
2.620,311.054,0.958155
2.630,311.242,0.963122
2.640,311.343,0.965685
2.650,311.157,0.963912
2.660,311.131,0.962622
2.670,311.187,0.964737
2.680,311.189,0.966191
2.690,311.212,0.964912
2.700,311.292,0.964714
2.710,311.429,0.960170
2.720,311.301,0.961443
2.730,311.025,0.950630
2.740,311.309,0.950649
2.750,311.327,0.946563
2.760,311.134,0.945408
2.770,311.108,0.940119
2.780,313.149,0.839443
2.790,314.762,0.803107
2.800,312.672,0.776563
2.810,311.635,0.796757
2.820,312.081,0.874983
2.830,313.208,0.889255
2.840,313.519,0.915632
2.850,313.304,0.935910
2.860,312.443,0.944070
2.870,311.988,0.945273
2.880,311.980,0.949978
2.890,311.847,0.948035
2.900,311.808,0.943245
2.910,311.448,0.934539
2.920,311.284,0.943358
2.930,311.321,0.938780
2.940,311.357,0.946685
2.950,311.570,0.954292
2.960,311.803,0.955538
2.970,311.752,0.954362
2.980,311.516,0.942519
2.990,311.380,0.940076
3.000,311.553,0.923247
3.010,307.869,0.496669
3.020,279.489,0.782067
3.030,278.159,0.892491
3.040,278.319,0.914905
3.050,277.304,0.907409
3.060,276.948,0.902817
3.070,276.939,0.931986
3.080,276.360,0.903355
3.090,276.735,0.923303
3.100,276.657,0.919189
3.110,276.587,0.916038
3.120,276.866,0.939643
3.130,276.667,0.935431
3.140,276.589,0.941931
3.150,276.368,0.914808
3.160,276.487,0.927820
3.170,276.684,0.933695
3.180,276.859,0.933218
3.190,277.390,0.942588
3.200,277.155,0.903321
3.210,278.123,0.842882
3.220,276.974,0.769025
3.230,273.568,0.709236
3.240,269.578,0.789663
3.250,266.618,0.774884
3.260,262.680,0.857105
3.270,261.841,0.871517
3.280,262.719,0.918447
3.290,263.109,0.943969
3.300,263.223,0.940585
3.310,261.884,0.926842
3.320,261.686,0.906779
3.330,262.054,0.942146
3.340,262.278,0.966658
3.350,262.417,0.964903
3.360,261.538,0.947994
3.370,261.623,0.950496
3.380,261.526,0.959094
3.390,261.880,0.966674
3.400,261.830,0.965256
3.410,261.789,0.959687
3.420,261.438,0.953035
3.430,261.604,0.959652
3.440,261.426,0.957636
3.450,261.554,0.959798
3.460,261.506,0.955919
3.470,261.476,0.955257
3.480,261.438,0.955911
3.490,261.356,0.952116
3.500,261.511,0.956838
3.510,261.549,0.960660
3.520,261.617,0.959015
3.530,261.387,0.956830
3.540,261.402,0.952806
3.550,261.322,0.952387
3.560,261.492,0.960130
3.570,261.359,0.954179
3.580,261.272,0.950365
3.590,261.205,0.944975
3.600,261.164,0.947027
3.610,261.126,0.948074
3.620,260.869,0.935555
3.630,260.920,0.937638
3.640,260.905,0.938833
3.650,261.152,0.944872
3.660,261.164,0.949630
3.670,261.155,0.945883
3.680,261.173,0.948102
3.690,261.252,0.953550
3.700,261.317,0.950748
3.710,261.196,0.948979
3.720,261.307,0.949893
3.730,261.185,0.947076
3.740,261.416,0.956853
3.750,261.271,0.951179
3.760,261.369,0.950483
3.770,261.262,0.949474
3.780,261.362,0.950377
3.790,261.255,0.948805
3.800,261.316,0.950536
3.810,261.294,0.949689
3.820,261.274,0.954433
3.830,261.400,0.952675
3.840,261.189,0.950658
3.850,261.192,0.945498
3.860,261.185,0.948665
3.870,261.340,0.953138
3.880,261.271,0.952147
3.890,261.250,0.950171
3.900,261.270,0.951085
3.910,261.268,0.952972
3.920,261.250,0.953057
3.930,261.115,0.946505
3.940,261.030,0.943736
3.950,260.799,0.941413
3.960,260.773,0.934669
3.970,260.724,0.938162
3.980,260.973,0.941972
3.990,261.090,0.948936
4.000,261.138,0.953734
4.010,261.317,0.954342
4.020,261.349,0.955960
4.030,261.395,0.955842
4.040,261.187,0.953980
4.050,261.273,0.956322
4.060,261.123,0.952940
4.070,261.322,0.956166
4.080,261.334,0.958554
4.090,261.314,0.956935
4.100,261.303,0.957800
4.110,261.257,0.955064
4.120,261.371,0.958477
4.130,261.303,0.959992
4.140,261.401,0.959202
4.150,261.336,0.959710
4.160,261.465,0.960130
4.170,261.352,0.961640
4.180,261.456,0.962153
4.190,261.313,0.960105
4.200,261.442,0.961610
4.210,261.498,0.961303
4.220,261.433,0.961520
4.230,261.417,0.959809
4.240,261.353,0.958129
4.250,261.339,0.953452
4.260,261.222,0.952181
4.270,261.256,0.951493
4.280,261.206,0.953592
4.290,261.101,0.950706
4.300,261.171,0.955474
4.310,261.273,0.959944
4.320,261.326,0.959247
4.330,261.368,0.961868
4.340,261.298,0.957596
4.350,261.095,0.953383
4.360,261.057,0.952770
4.370,260.907,0.944701
4.380,261.025,0.948519
4.390,261.182,0.953540
4.400,261.203,0.958349
4.410,261.250,0.957334
4.420,261.218,0.954314
4.430,261.318,0.956362
4.440,261.422,0.957465
4.450,261.320,0.957678
4.460,261.269,0.949633
4.470,261.213,0.946277
4.480,261.222,0.949236
4.490,261.250,0.948207
4.500,261.285,0.951038
4.510,261.427,0.953524
4.520,261.329,0.954031
4.530,261.443,0.956165
4.540,261.429,0.953807
4.550,261.507,0.955558
4.560,261.567,0.952953
4.570,261.444,0.950854
4.580,261.530,0.949737
4.590,261.579,0.952212
4.600,261.553,0.949490
4.610,261.512,0.951223
4.620,261.480,0.948512
4.630,261.342,0.946075
4.640,261.406,0.947555
4.650,261.431,0.947753
4.660,261.258,0.947352
4.670,261.363,0.945872
4.680,261.125,0.941917
4.690,261.374,0.948355
4.700,261.271,0.944925
4.710,261.208,0.943374
4.720,261.117,0.940415
4.730,261.077,0.940511
4.740,261.234,0.948388
4.750,261.169,0.946637
4.760,261.187,0.946653
4.770,260.892,0.936575
4.780,262.651,0.869904
4.790,262.146,0.713978
4.800,260.569,0.460270
4.810,304.039,0.239475
4.820,310.949,0.694172
4.830,313.345,0.790591
4.840,313.278,0.850353
4.850,313.600,0.902998
4.860,312.551,0.937167
4.870,312.003,0.950045
4.880,312.045,0.958651
4.890,312.073,0.956710
4.900,311.783,0.952848
4.910,311.433,0.936929
4.920,311.015,0.939927
4.930,311.116,0.940259
4.940,311.616,0.952236
4.950,311.764,0.957721
4.960,311.897,0.959445
4.970,312.044,0.952611
4.980,311.645,0.945605
4.990,311.748,0.933404
5.000,311.440,0.919765
5.010,311.204,0.902765
5.020,311.206,0.920684
5.030,311.273,0.932217
5.040,311.175,0.934435
5.050,311.063,0.933991
5.060,311.339,0.947410
5.070,311.546,0.959466
5.080,311.532,0.954912
5.090,311.684,0.956561
5.100,311.558,0.948426
5.110,311.511,0.952211
5.120,311.677,0.954057
5.130,311.533,0.957794
5.140,311.519,0.957794
5.150,311.312,0.955129
5.160,311.473,0.958401
5.170,311.477,0.961725
5.180,311.578,0.960322
5.190,311.615,0.962740
5.200,311.609,0.960607
5.210,311.570,0.959837
5.220,311.593,0.962096
5.230,311.557,0.963874
5.240,311.516,0.962494
5.250,311.460,0.963139
5.260,311.429,0.962499
5.270,311.409,0.960647
5.280,311.598,0.963809
5.290,311.597,0.965549
5.300,311.580,0.965994
5.310,311.541,0.963746
5.320,311.587,0.965901
5.330,311.625,0.965316
5.340,311.497,0.963218
5.350,311.556,0.963893
5.360,311.520,0.961358
5.370,311.443,0.959122
5.380,311.535,0.962915
5.390,311.570,0.964771
5.400,311.385,0.958148
5.410,311.527,0.956060
5.420,311.558,0.958158
5.430,311.470,0.953850
5.440,311.536,0.954596
5.450,311.534,0.954771
5.460,311.374,0.950113
5.470,311.459,0.951532
5.480,311.478,0.950324
5.490,311.422,0.950045
5.500,311.545,0.956364
5.510,311.453,0.954090
5.520,311.475,0.957260
5.530,311.343,0.953409
5.540,311.457,0.954775
5.550,311.354,0.948483
5.560,311.290,0.950053
5.570,311.381,0.952656
5.580,311.346,0.949171
5.590,311.285,0.951484
5.600,311.397,0.952858
5.610,311.429,0.955120
5.620,311.449,0.952825
5.630,311.336,0.951113
5.640,311.356,0.952938
5.650,311.319,0.954809
5.660,311.253,0.953183
5.670,311.311,0.955056
5.680,311.256,0.958416
5.690,311.171,0.955109
5.700,311.236,0.958096
5.710,311.276,0.962362
5.720,311.149,0.957712
5.730,310.996,0.954058
5.740,311.037,0.956035
5.750,311.033,0.958433
5.760,311.185,0.962379
5.770,311.281,0.968479
5.780,311.132,0.963196
5.790,311.198,0.965889
5.800,311.052,0.962919
5.810,311.120,0.965818
5.820,311.086,0.960972
5.830,311.115,0.965181
5.840,311.046,0.963553
5.850,311.211,0.966183
5.860,311.134,0.965979
5.870,311.143,0.965356
5.880,311.226,0.966619
5.890,311.157,0.962430
5.900,311.320,0.961902
5.910,311.471,0.958916
5.920,311.334,0.956091
5.930,311.204,0.952371
5.940,311.165,0.953534
5.950,311.346,0.956669
5.960,311.299,0.954801
5.970,311.170,0.953277
5.980,311.168,0.947798
5.990,311.240,0.949990
6.000,311.163,0.946366
6.010,311.325,0.943511
6.020,311.198,0.931335
6.030,311.095,0.932825
6.040,311.090,0.930416
6.050,311.328,0.941596
6.060,311.200,0.941645
6.070,311.316,0.942518
6.080,311.438,0.947816
6.090,311.372,0.948276
6.100,311.386,0.942488
6.110,311.494,0.941989
6.120,311.456,0.942625
6.130,311.440,0.945485
6.140,311.463,0.949370
6.150,311.498,0.949961
6.160,311.364,0.949861
6.170,311.361,0.949477
6.180,311.340,0.949106
6.190,311.333,0.945914
6.200,311.273,0.943514
6.210,311.386,0.949958
6.220,311.329,0.948999
6.230,311.355,0.949548
6.240,311.506,0.951531
6.250,311.539,0.951445
6.260,311.415,0.944714
6.270,311.550,0.949613
6.280,311.486,0.951669
6.290,311.299,0.944201
6.300,311.448,0.941740
6.310,311.559,0.946518
6.320,311.464,0.945994
6.330,311.512,0.947049
6.340,311.553,0.951567
6.350,311.429,0.951762
6.360,311.545,0.956139
6.370,311.875,0.958790
6.380,314.104,0.509727
6.390,264.601,0.355603
6.400,262.463,0.723439
6.410,262.441,0.883714
6.420,262.148,0.930182
6.430,262.276,0.944041
6.440,262.070,0.955813
6.450,262.095,0.960257
6.460,261.818,0.958214
6.470,261.329,0.945880
6.480,261.245,0.939964
6.490,261.210,0.949360
6.500,261.333,0.949532
6.510,261.500,0.958781
6.520,261.452,0.960286
6.530,261.584,0.959201
6.540,261.516,0.956911
6.550,261.697,0.956782
6.560,261.671,0.959147
6.570,261.896,0.965519
6.580,261.529,0.958723
6.590,261.603,0.960109
6.600,261.421,0.956688
6.610,261.631,0.960110
6.620,261.506,0.959290
6.630,261.472,0.956394
6.640,261.525,0.958847
6.650,261.571,0.960744
6.660,261.570,0.957745
6.670,261.441,0.953372
6.680,261.449,0.950464
6.690,261.531,0.957648
6.700,261.604,0.960010
6.710,261.527,0.957484
6.720,261.513,0.955994
6.730,261.366,0.954392
6.740,261.422,0.954702
6.750,261.292,0.953747
6.760,261.259,0.949470
6.770,261.178,0.947123
6.780,261.282,0.952713
6.790,261.256,0.949100
6.800,261.108,0.944643
6.810,261.146,0.943555
6.820,261.014,0.941063
6.830,261.134,0.946375
6.840,261.086,0.943969
6.850,261.136,0.944022
6.860,261.227,0.947349
6.870,261.293,0.949971
6.880,261.273,0.952392
6.890,261.234,0.949722
6.900,261.308,0.950887
6.910,261.274,0.953520
6.920,261.507,0.954678
6.930,261.236,0.949704
6.940,261.284,0.947338
6.950,261.210,0.948752
6.960,261.362,0.956006
6.970,261.185,0.949341
6.980,261.220,0.949397
6.990,261.275,0.949743
7.000,261.257,0.952794
7.010,261.338,0.951326
7.020,261.184,0.948389
7.030,261.248,0.948825
7.040,261.148,0.949678
7.050,261.245,0.948033
7.060,261.132,0.949233
7.070,261.128,0.944819
7.080,261.145,0.948333
7.090,261.219,0.952406
7.100,261.245,0.950314
7.110,261.235,0.949909
7.120,261.234,0.948367
7.130,261.150,0.949421
7.140,261.224,0.950903
7.150,261.122,0.948076
7.160,261.202,0.949761
7.170,261.189,0.952212
7.180,261.231,0.951767
7.190,261.200,0.953670
7.200,261.122,0.947357
7.210,261.229,0.952062
7.220,261.161,0.954461
7.230,261.208,0.951837
7.240,261.173,0.952467
7.250,261.272,0.953531
7.260,261.253,0.955721
7.270,261.343,0.958435
7.280,261.286,0.955374
7.290,261.348,0.957798
7.300,261.348,0.956482
7.310,261.301,0.957249
7.320,261.331,0.957561
7.330,261.264,0.956753
7.340,261.462,0.960870
7.350,261.354,0.960969
7.360,261.434,0.957992
7.370,261.373,0.961511
7.380,261.418,0.958794
7.390,261.420,0.961685
7.400,261.447,0.962150
7.410,261.453,0.960947
7.420,261.463,0.963263
7.430,261.436,0.958708
7.440,261.364,0.961297
7.450,261.358,0.958839
7.460,261.293,0.956045
7.470,261.256,0.953184
7.480,261.259,0.955420
7.490,261.260,0.956058
7.500,261.127,0.954240
7.510,261.183,0.956447
7.520,261.319,0.959268
7.530,261.348,0.962117
7.540,261.322,0.959561
7.550,261.119,0.953021
7.560,260.961,0.945299
7.570,260.979,0.949683
7.580,260.984,0.951038
7.590,261.074,0.951044
7.600,261.120,0.953489
7.610,261.240,0.955368
7.620,261.207,0.955832
7.630,261.070,0.947595
7.640,261.100,0.944627
7.650,261.127,0.946005
7.660,261.111,0.943024
7.670,261.127,0.941909
7.680,261.215,0.946268
7.690,261.319,0.947861
7.700,261.272,0.948802
7.710,261.275,0.950292
7.720,261.203,0.950530
7.730,261.449,0.954988
7.740,261.423,0.953610
7.750,261.477,0.955566
7.760,261.521,0.949586
7.770,261.459,0.949489
7.780,261.333,0.937604
7.790,261.260,0.940107
7.800,261.312,0.940521
7.810,261.493,0.945809
7.820,261.426,0.948152
7.830,261.434,0.948607
7.840,261.260,0.946417
7.850,261.236,0.942693
7.860,261.302,0.944435
7.870,261.452,0.945181
7.880,261.370,0.952017
7.890,261.433,0.948414
7.900,261.256,0.946187
7.910,261.318,0.948294
7.920,261.263,0.945981
7.930,261.020,0.941085
7.940,261.098,0.939759
7.950,260.872,0.936336
7.960,261.268,0.947963
7.970,261.194,0.946546
7.980,262.851,0.910873
7.990,263.480,0.771109
8.000,262.973,0.546430
8.010,280.563,0.219209
8.020,309.301,0.534245
8.030,311.877,0.752666
8.040,313.165,0.828420
8.050,313.680,0.890881
8.060,313.023,0.924186
8.070,312.188,0.949652
8.080,311.971,0.946093
8.090,312.045,0.954511
8.100,311.549,0.950645
8.110,311.301,0.938156
8.120,311.194,0.939631
8.130,311.098,0.933818
8.140,311.548,0.952389
8.150,311.825,0.957771
8.160,311.821,0.955590
8.170,311.730,0.949992
8.180,311.583,0.946315
8.190,311.666,0.943603
8.200,311.337,0.916376
8.210,311.420,0.923129
8.220,311.429,0.938955
8.230,311.222,0.927992
8.240,311.316,0.936306
8.250,311.347,0.943835
8.260,311.363,0.946398
8.270,311.562,0.950466
8.280,311.632,0.957106
8.290,311.647,0.954730
8.300,311.443,0.945958
8.310,311.367,0.943319
8.320,311.386,0.948754
8.330,311.524,0.952345
8.340,311.646,0.959066
8.350,311.607,0.960686
8.360,311.611,0.958059
8.370,311.686,0.959411
8.380,311.535,0.959114
8.390,311.371,0.953179
8.400,311.435,0.953622
8.410,311.473,0.955013
8.420,311.516,0.958621
8.430,311.670,0.961714
8.440,311.576,0.961755
8.450,311.501,0.960896
8.460,311.467,0.960028
8.470,311.426,0.963401
8.480,311.486,0.962637
8.490,311.553,0.964800
8.500,311.574,0.965291
8.510,311.551,0.965079
8.520,311.492,0.960759
8.530,311.499,0.962242
8.540,311.550,0.965502
8.550,311.466,0.958067
8.560,311.663,0.957704
8.570,311.653,0.955496
8.580,311.448,0.957690
8.590,311.487,0.959921
8.600,311.609,0.960725
8.610,311.477,0.955647
8.620,311.569,0.953606
8.630,311.577,0.954003
8.640,311.351,0.941473
8.650,311.366,0.936429
8.660,311.464,0.944954
8.670,311.454,0.946796
8.680,311.310,0.935644
8.690,311.267,0.937020
8.700,311.113,0.938079
8.710,311.146,0.941166
8.720,311.360,0.946804
8.730,311.264,0.942901
8.740,311.302,0.940515
8.750,311.496,0.943675
8.760,311.371,0.941557
8.770,311.353,0.942725
8.780,311.291,0.937155
8.790,311.364,0.941797
8.800,311.492,0.946155
8.810,311.558,0.947330
8.820,311.617,0.953822
8.830,311.524,0.953927
8.840,311.408,0.955937
8.850,311.406,0.953445
8.860,311.378,0.950622
8.870,311.244,0.950984
8.880,311.428,0.957261
8.890,311.370,0.961478
8.900,311.250,0.961109
8.910,311.262,0.963043
8.920,310.994,0.960218
8.930,310.942,0.954864
8.940,311.008,0.958687
8.950,311.168,0.959457
