time,frequency,confidence
2.450,274.183,0.917277
2.460,277.874,0.898509
2.470,280.216,0.854214
2.480,283.723,0.876625
2.490,288.031,0.855401
2.500,292.033,0.851912
2.510,294.389,0.938093
2.520,295.863,0.934262
2.530,296.783,0.934472
2.540,296.895,0.943162
2.550,296.735,0.937962
2.560,296.243,0.953675
2.570,295.577,0.967520
2.580,295.166,0.970675
2.590,294.949,0.962584
2.600,295.034,0.946814
2.610,295.334,0.929279
2.620,295.617,0.922120
2.630,295.677,0.910372
2.640,295.850,0.893893
2.650,295.886,0.902118
2.660,296.080,0.919059
2.670,296.146,0.921135
2.680,296.375,0.917831
2.690,296.072,0.922366
2.700,295.927,0.920405
2.710,295.665,0.920732
2.720,295.487,0.937973
2.730,294.950,0.961231
2.740,294.252,0.966205
2.750,293.806,0.964693
2.760,293.600,0.957201
2.770,293.380,0.934359
2.780,293.379,0.906302
2.790,292.840,0.845975
2.800,292.338,0.858243
2.810,292.045,0.893946
2.820,292.100,0.893647
2.830,292.244,0.892940
2.840,292.176,0.899687
2.850,292.613,0.885791
2.860,292.488,0.902928
2.870,292.444,0.900958
2.880,292.368,0.910199
2.890,292.052,0.902998
2.900,292.116,0.845306
2.910,291.900,0.858347
2.920,291.955,0.863269
2.930,292.200,0.880098
2.940,292.531,0.898017
2.950,292.864,0.922905
2.960,293.151,0.923115
2.970,293.507,0.925877
2.980,293.549,0.923256
2.990,293.519,0.832005
3.000,294.202,0.886785
3.010,294.647,0.878908
3.020,294.688,0.932023
3.030,294.864,0.945435
3.040,294.782,0.962768
3.050,294.987,0.965393
3.060,294.881,0.964160
3.070,295.061,0.959969
3.080,295.153,0.962283
3.090,295.520,0.963483
3.100,295.495,0.960006
3.110,295.724,0.948364
3.120,295.625,0.955703
3.130,295.672,0.951141
3.140,295.434,0.960338
3.150,295.183,0.965429
3.160,295.172,0.962713
3.170,294.813,0.967881
3.180,294.392,0.939023
3.190,293.806,0.931696
3.200,293.616,0.924520
3.210,293.480,0.936907
3.220,293.500,0.940813
3.230,293.630,0.926924
3.240,293.958,0.909842
3.250,294.534,0.860367
3.260,294.851,0.822537
3.270,295.368,0.764618
3.280,297.756,0.667056
3.290,301.177,0.625812
3.300,304.467,0.562775
3.310,305.002,0.504484
3.320,297.063,0.473147
3.330,297.869,0.223983
3.340,219.680,0.248311
3.350,154.668,0.314083
3.360,173.191,0.215493
3.370,153.829,0.433659
3.380,154.211,0.219480
3.390,213.524,0.094508
3.400,213.500,0.090239
3.410,220.871,0.156222
3.420,162.092,0.345934
3.430,320.038,0.473111
3.440,320.164,0.524171
3.450,164.728,0.193634
3.460,263.927,0.319986
3.470,235.030,0.381965
3.480,231.140,0.099159
3.490,208.950,0.143938
3.500,208.316,0.412186
3.510,211.790,0.442977
3.520,213.779,0.478548
3.530,215.576,0.589337
3.540,213.388,0.317560
3.550,207.521,0.224528
